Qty,Designator,MPN,Price/per unit,Price*Qty,Descrip,Purchase Link,,,
1,U1,ESP32-WROVER (16MB),4.28,4.28,esp32,https://www.digikey.com/en/products/filter/rf-transceiver-modules-and-modems/872?s=N4IgTCBcDaIKIGUAKBmMBaA6gJQPIDU5sACACgEYA2AWQCEBKEAXQF8g,,,
1,U11,541324562,2.44,2.44,flex connector,https://www.digikey.com/en/products/detail/molex/0541324562/3197010,,,https://www.digikey.com/en/products/detail/molex/0541324562/3197010
1,U6,LM4875MX/NOPB,2.13,2.13,audio amplifier,https://www.digikey.com/en/products/detail/texas-instruments/LM4875MX-NOPB/1871686?s=N4IgTCBcDaIDIFkAsAOA7AVgQDQPQDkB5ABQCEQBdAXyA,,,
1,D4,MBR120LSFT1G,0.46,0.46,,https://www.digikey.com/en/products/detail/onsemi/MBR120LSFT1G/1748986?s=N4IgTCBcDaILICEBKBGMAGAMgZQGIBUUBxEAXQF8g,,,
1,N/A - This is the LCD itself,ET026LQTM008,9.7,9.7,lcd screen,https://www.alibaba.com/product-detail/Support-Small-Quantity-2-6-inch_1600609986142.html,,,
2,"R16, R17",Potentiometer,0.2,0.4,,https://www.aliexpress.com/item/4000976184399.html?spm=a2g0o.ppclist.product.48.188aFIP1FIP1hP&pdp_npi=2%40dis%21CAD%21C%24%200.30%21C%24%200.27%21%21%21%21%21%402101f6b416758591583237100e8a4d%2110000013049613215%21btf&_t=pvid:51ec7263-41ad-4eee-b2d4-5f0c6bfe3fc6&afTraceInfo=4000976184399__pc__pcBridgePPC__xxxxxx__1675859158,,,
,,,,,,,,,
,,(3x) PCB(2.8”x4.5”) oshpark@ $5/sq.in.,65,21.65,,,,,
,,,,,,,,,
,,Enclosure??,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Total,57.25,,,,,
